DOI,Cited Paper ID,Paper DOI
10.1038/s41598-024-71925-y,ae6798d7f5e4cf6053ce1e71eda7db567d7f91d6,10.1038/s41562-023-01798-0
10.1038/s41598-024-71925-y,bf65a1a58f9e631a704785596968c42922c7e544,10.1162/jocn_a_02080
10.1038/s41598-024-71925-y,9f6b8ce8249ad52e127e22a88f681c2d28d5338a,10.1101/2023.02.22.529399
10.1038/s41598-024-71925-y,c984191fb54d863abe14b61924c785411d88a758,10.1038/s42003-023-05578-4
10.1038/s41598-024-71925-y,5dd39b7b5ed6ae5f503e91f94c03695369bb4c9a,10.3390/biology12030404
10.1038/s41598-024-71925-y,1e2c0fe987e212a135ec5a4773a0593475ea8b2d,10.1101/2023.02.01.526533
10.1038/s41598-024-71925-y,6c75ba983be91af23749e0e594be3cc8fd763205,10.1152/jn.00458.2021
10.1038/s41598-024-71925-y,22e77a201c919dd052055c3dc412adf97ee91798,10.1152/jn.00121.2021
10.1038/s41598-024-71925-y,088e98f65daa7ece2ec7bad1763804e2a7fb2ae9,10.1101/2021.12.21.473484
10.1038/s41598-024-71925-y,664cf5cddd636b91fe1daf0751f8adb721c4f7ef,10.1073/pnas.2204379119
10.1038/s41598-024-71925-y,c6a9b68ddc0be42cddf6750ff668839c68538761,10.1016/j.neunet.2021.07.015
10.1038/s41598-024-71925-y,790a088f6bceb817ff14a0f46dce8b824eed8013,10.1371/journal.pcbi.1010005
10.1038/s41598-024-71925-y,936287eec85b2bd5dbc42724b8d01eb2488687c2,10.51628/001c.26985
10.1038/s41598-024-71925-y,2cec9538b74afb1254c7492c51b6fa93c753397e,10.1146/annurev-psych-010419-051053
10.1038/s41598-024-71925-y,a456cc25369130535c6a8aed779d8d7ce25b7543,10.1007/s12662-020-00646-x
10.1038/s41598-024-71925-y,fef7c677fb72eafc9ca15cbe5800c38bce5720ee,10.1007/s00426-019-01205-2
10.1038/s41598-024-71925-y,71de8229a9b4f834a9fff4a7470a20c00d1ac092,10.1152/jn.00228.2018
10.1038/s41598-024-71925-y,6d0a164caf39ee5a57333e9516c4098291139e67,10.1101/528752
