DOI,Citing Paper ID,Paper DOI
10.1038/s41598-024-69200-1,6f3543be62beb4e6f8cdaeea23771ff975cf988e,10.3390/jfmk10020119
10.1038/s41598-024-69200-1,82ad7d847de1230082b7b241435279fc0ca5fb7f,10.3389/fnhum.2024.1425090
10.1186/s12984-024-01494-8,f1695d0cf03182342f99b0b2a9a943567c6b0281,10.1016/j.gaitpost.2025.04.008
10.1186/s12984-025-01597-w,599ed9c7aa4ad4c79e014c4b30eefa390d1fb909,10.3390/brainsci15080883
10.1186/s12984-025-01597-w,1a51a0ff8be19c610cd8b49965c86718df4a4b7c,10.3390/biomimetics10080488
10.3390/bioengineering11080744,f128d42a0af9f0c61197b284bb9d13b7f81dc0f7,10.1002/brb3.70743
10.3390/bioengineering11080744,59e3b4be1677193b987f80f88e2ec73deed75d58,10.1016/j.arr.2024.102569
10.1016/j.neuroimage.2014.06.034,5871869af2356364f158fe1878633b15b560d65f,10.1038/s41539-025-00353-y
10.1016/j.neuroimage.2014.06.034,afe616c7373d90a769ae618a9465ea81aff06dcc,10.1109/MetroXRAINE54828.2022.9967564
10.1016/j.neuroimage.2014.06.034,676f946a383910c6f9a55b5e1fd0f22382cfd98e,10.1016/j.psychsport.2021.102129
10.1016/j.neuroimage.2014.06.034,b8b5d369ef6ca090a6e5c82702fda3d0e7bb1398,10.3389/fpsyg.2020.02154
10.1016/j.neuroimage.2014.06.034,68219cf54fafab836a451432d8f4858b5bc29753,10.1016/j.neubiorev.2019.02.001
10.1016/j.neuroimage.2014.06.034,fc1cc6de707a59b9cb0048215e7244a5e5ed7150,10.1016/j.neuroimage.2018.06.054
10.1016/j.neuroimage.2014.06.034,9eb09fb67bb6d0be86c5f436d80192ae93919318,10.1080/00222895.2017.1327414
10.1016/j.neuroimage.2014.06.034,d585d9d3b90a73fcb0be000ae8cc29759ba646cc,10.1038/srep42721
10.1016/j.neuroimage.2014.06.034,8e2e2a58bf119e19b3631f4ad765641bde3213a6,
10.1016/j.neuroimage.2014.06.034,557914a896eafac6c13f4a948c856d2024993e29,10.1152/jn.00735.2013
10.1016/j.neuroimage.2014.06.034,c671547ac0cb0a595878e7c57a1352de58f5e20e,10.1162/jocn_a_00322
10.1016/j.neuroimage.2014.06.034,0a69ff940d40c9280b3c04583455b0e52dd5a6ff,
10.1212/wnl.57.12.2248,e1936b54b7ed05dba8b9528ff8e48437402957ee,10.3389/fnint.2014.00078
10.1212/wnl.57.12.2248,8198b1d06919a208b1a62d35300dbd37fb566de7,10.1016/j.bandl.2007.03.003
10.1212/wnl.57.12.2248,dc2ed162832aecaf25e10efded7ea758c346aab1,10.1017/S1461145706007516
10.1212/wnl.57.12.2248,b1f678c70f2074efb2e186a1a2d5a4a70ffd4fc3,10.1017/S1355617707071317
10.1212/wnl.57.12.2248,3db75be39bb9329ac8e955561a5173e97ab722fd,10.1038/sj.jhh.1002206
10.1212/wnl.57.12.2248,dd7f2dd526f909f6fb6bb9bef172c35f7b624fca,10.3233/NRE-2006-21203
10.1212/wnl.57.12.2248,82bd8cd0d75de51b59a2b56777dff85a7088ec23,
10.1212/wnl.57.12.2248,034b97c9b8b0e4d144f8357b371047f9db42d230,10.1523/JNEUROSCI.1643-04.2004
10.1212/wnl.57.12.2248,d87b90a073dd1704e6ec2820b54d94dd8cd4f7a8,10.1111/j.0953-816X.2004.03450.x
10.1212/wnl.57.12.2248,0244f54a62fc9f198f9da7d583237ae7f329f4e0,10.1191/0269215503cr653oa
10.1212/wnl.57.12.2248,d1540402b6db03a8f3d86a232156f6203c86e648,10.1002/hbm.10083
10.1212/wnl.57.12.2248,3a9a33775b2e55f8c55a06791c4600c43a3eaef6,10.1016/S0006322302013823
